Authors;Privacy concerns?;Geolocalization;Biological;Behavior and actions;Demographic;Psychographic;Personal communication;Association group;Images
Nadeem W., Juntunen M., Hajli N., Tajvidi M. (2021);1;0;0;1;1;1;1;1;0
Plangger K., Montecchi M. (2020);1;1;1;1;1;1;1;1;1
Jacobson J., Gruzd A., Hernández-García Á. (2020);1;1;0;1;1;1;1;1;1
Khan R., Tausif S., Javed Malik A. (2019);1;1;0;0;0;0;0;0;1
Marakhimov A., Joo J. (2017);1;1;1;1;1;1;0;0;0
Vakeel K.A., Das S., Udo G.J., Bagchi K. (2017);1;0;0;1;1;0;0;0;0
Krishen A.S., Raschke R.L., Close A.G., Kachroo P. (2017);1;1;0;1;1;1;1;1;1
Milne G.R., Pettinico G., Hajjat F.M., Markos E. (2017);1;1;1;1;1;1;1;1;1
Mousavizadeh M., Kim D.J., Chen R. (2016);1;1;0;1;1;1;1;1;0
Kim D.J., Yim M.-S., Sugumaran V., Rao H.R. (2016);1;0;0;1;0;0;0;0;0
Mathews-Hunt K. (2016);1;1;0;1;1;1;1;1;1
Roeber B., Rehse O., Knorrek R., Thomsen B. (2015);1;0;1;1;0;0;0;0;0
Atienza A.A., Zarcadoolas C., Vaughon W., Hughes P., Patel V., Chou W.-Y.S., Pritts J. (2015);1;0;1;0;1;0;1;0;0
Shukla P. (2014);1;0;0;1;1;0;1;0;0
Aiken K.D., Shin S., Pascal V. (2014);1;0;0;1;1;1;1;1;0
Schwaig K.S., Segars A.H., Grover V., Fiedler K.D. (2013);1;0;0;1;0;1;1;0;0
Wattal S., Telang R., Mukhopadhyay T., Boatwright P. (2012);1;0;0;0;0;0;1;1;0
Honeycutt Jr. E.D., Magnini V.P., Thelen S.T. (2012);1;0;1;1;1;0;0;0;0
Anderson C.L., Agarwal R. (2011);1;0;1;0;1;1;1;0;0
Wang X., McGill T.J., Klobas J.E. (2020);1;0;0;0;0;0;0;0;0
Xie Y., Chen K., Guo X. (2020);1;0;0;1;0;0;0;0;0
Gerlick J.A., Liozu S.M. (2020);1;0;0;1;1;1;0;0;0
Cheah J.-H., Lim X.-J., Ting H., Liu Y., Quach S. (2020);1;0;0;1;1;1;1;0;0
Soodan V., Rana A. (2020);1;1;1;1;1;1;1;1;1
Mathai N., McGill T., Toohey D. (2020);1;0;1;0;1;1;1;1;1
Krafft M., Kumar V., Harmeling C., Singh S., Zhu T., Chen J., Duncan T., Fortin W., Rosa E. (2020);1;1;1;1;1;1;1;1;1
Amin A., Matin S., Islam R., Jahan I., Rahman H. (2020);1;0;0;1;1;1;1;1;0
Segijn C.M., van Ooijen I. (2020);1;1;0;1;1;1;1;1;0
Sharma D., Aggarwal D., Gupta A. (2019);1;0;0;1;0;0;0;0;0
Paluch S., Tuzovic S. (2019);1;0;1;1;1;1;1;1;0
Mpinganjira M., Maduku D.K. (2019);1;0;0;1;1;1;1;0;0
Esmaeilzadeh P. (2019);1;0;1;0;0;0;0;0;0
Yu C., Zhang Z., Lin C., Wu Y.J. (2019);1;0;0;1;0;0;0;0;0
Mukherjee A., Smith R.J., Turri A.M. (2018);1;0;0;1;0;1;1;0;0
Kummer T.-F., Ryschka S., Bick M. (2018);1;1;0;1;1;1;1;1;0
Wirtz J., Patterson P.G., Kunz W.H., Gruber T., Lu V.N., Paluch S., Martins A. (2018);1;0;0;1;0;1;1;0;0
Bright L.F., Logan K. (2018);1;0;0;1;1;1;1;1;1
Dang V.T., Pham T.L. (2018);1;1;0;1;1;1;1;1;0
Gironda J.T., Korgaonkar P.K. (2018);1;0;0;1;1;1;1;1;0
Inman J.J., Nikolova H. (2017);1;1;1;1;1;1;1;1;1
Han M.C., Kim Y. (2017);1;0;0;1;0;1;0;0;0
Kukard W., Wood L. (2017);1;0;0;1;0;0;0;0;0
Bailey A.A., Pentina I., Mishra A.S., Ben Mimoun M.S. (2017);1;0;0;1;1;1;1;0;0
Dong X., Chang Y., Wang Y., Yan J. (2017);1;0;0;1;0;1;0;0;0
Singh N., Srivastava S., Sinha N. (2017);1;0;0;1;1;1;0;0;0
Cocosila M., Trabelsi H. (2016);1;0;0;1;1;1;1;1;0
Hsu C.-L., Lin J.C.-C. (2016);1;0;0;1;1;1;1;0;0
Brinson N.H., Eastin M.S. (2016);1;0;0;1;1;1;1;1;0
Christofides E., O’Doherty K. (2016);1;0;1;1;1;1;1;1;0
Liao C., Huang Y.-J., Hsieh T.-H. (2016);1;0;0;0;0;0;0;0;0
Azam A., Qiang F. (2014);1;0;0;1;0;0;0;0;0
Ratten V. (2014);1;0;0;1;0;1;0;0;0
Sharma G., Lijuan W. (2014);1;0;0;1;1;1;1;1;0
Yaakop A., Mohamed Anuar M., Omar K. (2013);1;0;0;1;1;1;1;1;1
Ellahi A., Bokhari R.H. (2013);1;0;0;1;1;1;1;1;0
O’Reilly P., Duane A., Andreev P. (2012);1;1;0;1;1;1;1;1;0
Morosan C. (2012);1;0;1;1;1;1;0;1;1
Limbu Y.B., Wolf M., Lunsford D. (2012);1;0;0;1;0;0;0;0;0
Paetz A.-G., Dütschke E., Fichtner W. (2012);1;0;0;1;0;1;0;0;0
Rahman M.S., Haque M.M., Khan M.B.K. (2011);1;0;0;1;0;0;1;1;0
Limbu Y.B., Wolf M., Lunsford D.L. (2011);1;0;0;1;1;1;0;1;0
Alam S.S., Yasin N.M. (2010);1;0;0;1;1;1;1;1;0
Rezaei Dolatabadi H.R., Ebrahimi H. (2010);1;0;0;1;0;1;0;0;0
